V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
38.3295,0.56,14.6636,0.56,All
38.3356,0.566667,14.7004,0.566667,All
38.3831,0.573333,14.7346,0.573333,All
38.5326,0.58,14.7834,0.58,All
38.7186,0.586667,14.8704,0.586667,All
38.7914,0.593333,14.8845,0.593333,All
38.9388,0.6,14.8917,0.6,All
38.9409,0.606667,14.9334,0.606667,All
39.2272,0.613333,14.9381,0.613333,All
39.4385,0.62,14.983,0.62,All
39.5093,0.626667,15.1785,0.626667,All
39.5547,0.633333,15.218,0.633333,All
40.0085,0.64,15.2234,0.64,All
40.0426,0.646667,15.3225,0.646667,All
40.714,0.653333,15.3401,0.653333,All
41.0195,0.66,15.3928,0.66,All
41.0254,0.666667,15.5804,0.666667,All
41.6835,0.673333,15.5804,0.673333,All
42.0232,0.68,15.687,0.68,All
42.0654,0.686667,15.8444,0.686667,All
42.4374,0.693333,15.8724,0.693333,All
42.866,0.7,15.9345,0.7,All
43.0514,0.706667,15.9982,0.706667,All
43.5557,0.713333,16.1038,0.713333,All
43.626,0.72,16.1783,0.72,All
43.7413,0.726667,16.1867,0.726667,All
44.1649,0.733333,16.2741,0.733333,All
44.2088,0.74,16.3136,0.74,All
44.2771,0.746667,16.5017,0.746667,All
44.3932,0.753333,16.7788,0.753333,All
44.5419,0.76,16.8006,0.76,All
44.9505,0.766667,16.8105,0.766667,All
45.3803,0.773333,16.8183,0.773333,All
45.8521,0.78,16.8784,0.78,All
45.9082,0.786667,16.9011,0.786667,All
46.1922,0.793333,17.0411,0.793333,All
46.3058,0.8,17.1107,0.8,All
46.4126,0.806667,17.1993,0.806667,All
46.4247,0.813333,17.2239,0.813333,All
46.6101,0.82,17.3336,0.82,All
46.6228,0.826667,17.5934,0.826667,All
46.7104,0.833333,17.6881,0.833333,All
46.7146,0.84,17.721,0.84,All
47.4093,0.846667,17.7251,0.846667,All
47.6377,0.853333,17.8594,0.853333,All
48.1784,0.86,18.0533,0.86,All
48.4017,0.866667,18.1016,0.866667,All
48.409,0.873333,18.1667,0.873333,All
48.4944,0.88,18.1925,0.88,All
48.6106,0.886667,18.4172,0.886667,All
49.2183,0.893333,18.4258,0.893333,All
49.8099,0.9,18.4757,0.9,All
49.9672,0.906667,18.7111,0.906667,All
50.083,0.913333,18.7555,0.913333,All
50.4361,0.92,18.7709,0.92,All
50.447,0.926667,18.9317,0.926667,All
51.9925,0.933333,19.0228,0.933333,All
52.8246,0.94,19.3806,0.94,All
53.8708,0.946667,19.3931,0.946667,All
54.1423,0.953333,19.5466,0.953333,All
56.4365,0.96,19.6316,0.96,All
60.4941,0.966667,19.719,0.966667,All
65.9804,0.973333,19.8416,0.973333,All
67.3084,0.98,19.8436,0.98,All
68.316,0.986667,19.9304,0.986667,All
70.5906,0.993333,20.4518,0.993333,All
82.6212,1,20.5228,1,All
92.0039,1,34.9222,1,All
